How to Chill a Drink Quickly: 9 Steps (with Pictures) - wikiHow,Fill a thick glass bowl with water and ice.,"The thicker and more insulated the bowl, the better. It should be able to trap the cold water and ice mixture. Add as much ice to the water as you can, but not so much that it prevents the entire beverage container from being submerged into the water. A 50/50 mix of ice and water is a good rule of thumb. If you just need to chill one or a few drinks, this is fine. If you have to chill many drinks, you're better off using a cooler or even your bathtub."
How to Chill a Drink Quickly: 9 Steps (with Pictures) - wikiHow,Add a pinch of salt to the water.,"A small handful should do. The salt will disassociate into its constituent sodium and chloride ions. The water molecules, being polar, will orient themselves accordingly. This is work, and work requires energy which comes from thermal energy in the water, thus reducing the ambient temperature further."
How to Chill a Drink Quickly: 9 Steps (with Pictures) - wikiHow,Put your drinks in the ice water solution and rapidly stir them.,Stirring the drinks will help the heat transfer out of your drink and into the ice solution more quickly.
How to Chill a Drink Quickly: 9 Steps (with Pictures) - wikiHow,Wait about two minutes.,"The temperature should have fallen dramatically in a very short time. If it needs more time chilling, stir the remaining drinks in the salted ice water for another minute or two."
How to Chill a Drink Quickly: 9 Steps (with Pictures) - wikiHow,Pour your cold drink into a glass.,"It should now be about the perfect temperature to quench your thirst -- and the thirst of your guests. Just be careful: if you put in a carbonated drink like a soda, give it some time to settle before you pour it."
How to Chill a Drink Quickly: 9 Steps (with Pictures) - wikiHow,Wet a paper towel that's large enough to fit around your entire drink.,"If your drink is small, you may only need to use half a paper towel; if your drink is larger, a full one or even two."
How to Chill a Drink Quickly: 9 Steps (with Pictures) - wikiHow,Wrap the wet paper towel completely around the drink.,Try to make sure the paper towel stays wrapped around the drink.
How to Chill a Drink Quickly: 9 Steps (with Pictures) - wikiHow,Place the wrapped drink in the freezer and wait approximately 15 minutes.,
How to Chill a Drink Quickly: 9 Steps (with Pictures) - wikiHow,Remove the drink from the freezer and enjoy your ice-cold beverage.,"The paper towel will be partially frozen; keep it on your beverage if you want it to continue cooling down the drink. If you are using the drink in presentation, remove the wet paper towel before serving."
How to Make Gesso: 2 Quick and Easy DIY Recipes,Dissolve whiting chalk in enough water to make a paste.,"Put whiting chalk or calcium carbonate into a container and slowly stir in a few drops of water. Keep stirring in more water until the chalk dissolves and forms a thin paste.[1]You can purchase whiting chalk from home improvement stores or online.If you want to make a small amount of gesso, try using about 1 tablespoon (8 g).If you prefer, you can mix a small amount of gesso directly on a paint palette using a palette knife."
How to Make Gesso: 2 Quick and Easy DIY Recipes,Squirt in equal parts of acrylic polymer gloss medium and white paint.,"Get out a bottle of acrylic polymer gloss medium and squeeze in about the same amount as your chalk paste. Then, squeeze in the same amount of titanium white acrylic paint.[2]You don't have to be exact in these ratios. For example, if you don't need the gesso to be very white, you could leave out the titanium white acrylic paint. If you want very white gesso, try adding 2 or 3 times as much white acrylic paint."
How to Make Gesso: 2 Quick and Easy DIY Recipes,Mix the chalk paste with the paint and gloss medium until it's smooth.,"If you're mixing the gesso in a container, use a spoon or stirring rod to thoroughly combine the materials. If you're mixing the gesso directly on a palette, use your palette knife to mix them.[3]You shouldn't see any lumps of paint or gloss medium once you've finished mixing the gesso.The gesso should be the consistency of house paint once it's ready to use."
How to Make Gesso: 2 Quick and Easy DIY Recipes,Brush the gesso over your surface before you paint with acrylics.,"You can prime canvas, raw linen, cotton, paper, fiberboard, or wood. Leave the gesso to dry completely before brushing on additional coats. Each coat should dry for 10 to 20 minutes. Then, leave the material to dry for 12 hours before working on it with acrylics.[4]Avoid coating an old oil painting with acrylic gesso since it will peel or crack. If you'd like to paint over an old oil painting, cover it with oil gesso instead."
How to Make Gesso: 2 Quick and Easy DIY Recipes,Soak dried animal glue in water for at least 3 hours.,"Use 1/2 cup (70 g) of dried animal glue and 4 cups (950mL) of water. Measure the dried glue and put it into a heat-proof bowl. Then, pour in the water and leave the mixture at room temperature for at least 3 hours so the glue swells.You can prepare the animal glue solution overnight if you prefer."
How to Make Gesso: 2 Quick and Easy DIY Recipes,Heat the glue solution in a double boiler until it reaches 140F (60C).,"Stir the solution occasionally as the glue dissolves and becomes slightly sticky and thick. It's important to turn off the burner before the solution boils or gets hotter than 140F (60C). You can use an instant-read thermometer to determine the temperature.The glue solution should look like thick chicken broth.If the solution boils, the gesso won't stick to your material very well."
How to Make Gesso: 2 Quick and Easy DIY Recipes,Let the glue solution cool and weigh it.,"Once you've turned off the burner, pour the hot solution into another heat-proof bowl and leave it at room temperature until it's just warm to the touch. Then, place the bowl on a scale and weigh your solution.[5]You'll need the weight of the solution to determine how much chalk and pigment to add."
How to Make Gesso: 2 Quick and Easy DIY Recipes,Weigh an equal amount of whiting chalk or calcium carbonate.,"Set another bowl that weighs as much as the bowl with the glue onto the scale. Continue to add whiting chalk or calcium carbonate to the bowl until it weighs the same as the glue solution.[6]You can buy whiting chalk at home improvement stores or online.In a pinch, you can finely grind sticks of chalk to use."
How to Make Gesso: 2 Quick and Easy DIY Recipes,Stir the chalk into the solution until the gesso is smooth.,Carefully pour the chalk or calcium carbonate you weighed into the glue solution and use a clean wooden spoon to stir it. Mix gently so you don't create air bubbles in the gesso.[7]The chalk should dissolve quickly in the glue solution and you shouldn't see any lumps.
How to Make Gesso: 2 Quick and Easy DIY Recipes,Stretch a stocking over a storage container and strain the gesso through it.,"Get out a clean storage container for your gesso and stretch a nylon stocking over the top. Then, slowly pour the gesso through the stocking to catch grit or impurities.[8]You can use your hands to squeeze the gesso through the stocking.To store the gesso, cover the storage container tightly. It should keep indefinitely at room temperature."
How to Make Gesso: 2 Quick and Easy DIY Recipes,Use the gesso to prime rigid materials before painting on them.,"Dip a paintbrush into your gesso and brush it evenly over your rigid material. You could spread the gesso on wooden panels or fiberboard, for instance. Let the gesso dry completely before adding extra coats. It should take about 20 minutes for each coat to dry.Let the primed surface dry for at least 24 hours before you begin oil painting on it."
How to Make Gesso: 2 Quick and Easy DIY Recipes,Dissolve whiting chalk in enough water to make a paste.,"Put whiting chalk or calcium carbonate into a container and slowly stir in a few drops of water. Keep stirring in more water until the chalk dissolves and forms a thin paste.[1]You can purchase whiting chalk from home improvement stores or online.If you want to make a small amount of gesso, try using about 1 tablespoon (8 g).If you prefer, you can mix a small amount of gesso directly on a paint palette using a palette knife."
How to Make Gesso: 2 Quick and Easy DIY Recipes,Squirt in equal parts of acrylic polymer gloss medium and white paint.,"Get out a bottle of acrylic polymer gloss medium and squeeze in about the same amount as your chalk paste. Then, squeeze in the same amount of titanium white acrylic paint.[2]You don't have to be exact in these ratios. For example, if you don't need the gesso to be very white, you could leave out the titanium white acrylic paint. If you want very white gesso, try adding 2 or 3 times as much white acrylic paint."
How to Make Gesso: 2 Quick and Easy DIY Recipes,Mix the chalk paste with the paint and gloss medium until it's smooth.,"If you're mixing the gesso in a container, use a spoon or stirring rod to thoroughly combine the materials. If you're mixing the gesso directly on a palette, use your palette knife to mix them.[3]You shouldn't see any lumps of paint or gloss medium once you've finished mixing the gesso.The gesso should be the consistency of house paint once it's ready to use."
How to Make Gesso: 2 Quick and Easy DIY Recipes,Brush the gesso over your surface before you paint with acrylics.,"You can prime canvas, raw linen, cotton, paper, fiberboard, or wood. Leave the gesso to dry completely before brushing on additional coats. Each coat should dry for 10 to 20 minutes. Then, leave the material to dry for 12 hours before working on it with acrylics.[4]Avoid coating an old oil painting with acrylic gesso since it will peel or crack. If you'd like to paint over an old oil painting, cover it with oil gesso instead."
How to Make Gesso: 2 Quick and Easy DIY Recipes,Soak dried animal glue in water for at least 3 hours.,"Use 1/2 cup (70 g) of dried animal glue and 4 cups (950mL) of water. Measure the dried glue and put it into a heat-proof bowl. Then, pour in the water and leave the mixture at room temperature for at least 3 hours so the glue swells.You can prepare the animal glue solution overnight if you prefer."
How to Make Gesso: 2 Quick and Easy DIY Recipes,Heat the glue solution in a double boiler until it reaches 140F (60C).,"Stir the solution occasionally as the glue dissolves and becomes slightly sticky and thick. It's important to turn off the burner before the solution boils or gets hotter than 140F (60C). You can use an instant-read thermometer to determine the temperature.The glue solution should look like thick chicken broth.If the solution boils, the gesso won't stick to your material very well."
How to Make Gesso: 2 Quick and Easy DIY Recipes,Let the glue solution cool and weigh it.,"Once you've turned off the burner, pour the hot solution into another heat-proof bowl and leave it at room temperature until it's just warm to the touch. Then, place the bowl on a scale and weigh your solution.[5]You'll need the weight of the solution to determine how much chalk and pigment to add."
